"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category"
"Card11",9.98897802287994e-05,0.892865422828946,0.75,0.75,1,"Card11","Not Significant"
"Resf1",0.000111605274932344,1.29067056806186,1,0.75,1,"Resf1","Not Significant"
"Ifi207",0.000114582701186581,1.55659300567576,1,0.75,1,"Ifi207","Not Significant"
"Phlda1",0.000115392369773526,-1.02853419531239,0.75,0.75,1,"Phlda1","Not Significant"
"C130026I21Rik",0.000117955864105878,1.00167833600814,1,0.75,1,"C130026I21Rik","Not Significant"
"Fndc3a",0.000127252237827676,1.30647356962923,1,0.75,1,"Fndc3a","Not Significant"
"Frmd4a",0.000131213048245528,1.21393810747396,1,0.75,1,"Frmd4a","Not Significant"
"Gramd3",0.000133285118891343,0.915711294917191,1,0.75,1,"Gramd3","Not Significant"
"Dcp2",0.000137597651651254,1.17993120107441,1,0.75,1,"Dcp2","Not Significant"
"Hpse",0.000146320882643505,1.25947569304767,1,0.75,1,"Hpse","Not Significant"
"Itpr1",0.000151738550228718,1.09445305369774,1,0.75,1,"Itpr1","Not Significant"
"Cnn3",0.000157226997580271,0.99958500180745,1,0.75,1,"Cnn3","Not Significant"
"Mitd1",0.000166444628183375,1.01652571383676,1,0.75,1,"Mitd1","Not Significant"
"Cgas",0.000174411198806032,1.08001765431331,1,0.75,1,"Cgas","Not Significant"
"Sass6",0.000177553100679529,1.05328663257281,1,0.75,1,"Sass6","Not Significant"
"Fam111a",0.000186801946367961,0.0260671288511944,1,1,1,"Fam111a","Not Significant"
"Sgcb",0.000189876675119588,1.16815067610166,1,0.75,1,"Sgcb","Not Significant"
"Etnk1",0.000211048157994476,1.5292622388518,1,0.75,1,"Etnk1","Not Significant"
"Ms4a6c",0.000218329850371557,1.62444849634811,1,0.75,1,"Ms4a6c","Not Significant"
"Atf5",0.000224403532201292,-1.45404375446504,1,1,1,"Atf5","Not Significant"
"Mov10",0.000226322746198424,0.872133564644443,1,0.75,1,"Mov10","Not Significant"
"Gm10076",0.000233191987714722,-1.05242685094466,1,1,1,"Gm10076","Not Significant"
"Tomm70a",0.000237914151883676,1.24851497119156,1,0.75,1,"Tomm70a","Not Significant"
"A530040E14Rik",0.000242989648142803,0.6411837094078,1,0.25,1,"A530040E14Rik","Not Significant"
"Psme2b",0.000250433215737163,1.15026024508518,1,0.75,1,"Psme2b","Not Significant"
"Nupr1",0.000257434017289837,1.27066603784531,1,0.75,1,"Nupr1","Not Significant"
"Pnp2",0.000258202840262341,0.707799753564432,1,0.75,1,"Pnp2","Not Significant"
"Pirb",0.000264640431662652,1.35072861917317,1,0.75,1,"Pirb","Not Significant"
"Pfkp",0.000266457175185964,1.27541392568721,1,0.75,1,"Pfkp","Not Significant"
"March5",0.000275235351137398,1.86969012749855,1,0.75,1,"March5","Not Significant"
"A530032D15Rik",0.000275253323598333,0.797987010057443,0.75,0.75,1,"A530032D15Rik","Not Significant"
"Naip2",0.000322835989906456,1.21056878728445,1,0.75,1,"Naip2","Not Significant"
"Naa25",0.000346046983280923,1.05678642628806,1,0.75,1,"Naa25","Not Significant"
"Nlrc5",0.000360829179719143,1.26291159118244,1,0.75,1,"Nlrc5","Not Significant"
"Sirpb1c",0.000375283021532466,1.31163022172807,1,0.75,1,"Sirpb1c","Not Significant"
"Egr1",0.000380751882140117,-1.84999762489192,1,1,1,"Egr1","Not Significant"
"Gla",0.000381379999433797,1.02301914269948,1,0.75,1,"Gla","Not Significant"
"Nod1",0.000390004823082061,1.03526396343017,1,0.75,1,"Nod1","Not Significant"
"Nfkbie",0.00039436348991341,1.17005915617243,1,0.75,1,"Nfkbie","Not Significant"
